datetime,latitude,longitude,magnitude,location
2009-04-21 03:32:22.261331+00:00,-1.0425302,99.465851,3.4366581,"Southern Sumatra, Indonesia"
2009-04-21 03:33:41.355881+00:00,4.9600625,95.902313,3.1803385,"Northern Sumatra, Indonesia"
2009-04-24 20:12:13.272772+00:00,2.5780737,95.734039,4.4748309,Off West Coast of Northern Sumatra
2009-04-26 13:02:04.995692+00:00,0.77520972,98.464661,4.0269935,"Northern Sumatra, Indonesia"
2009-04-27 05:29:01.303150+00:00,-4.6214461,102.81384,4.1910067,"Southern Sumatra, Indonesia"
2009-04-27 09:33:41.898098+00:00,-5.3404403,103.32296,5.0025053,"Southern Sumatra, Indonesia"
2009-04-27 10:45:57.691639+00:00,-5.2397547,103.41302,3.524641,"Southern Sumatra, Indonesia"
2009-04-27 17:37:47.007374+00:00,-4.638639,103.17678,3.7894731,"Southern Sumatra, Indonesia"
2009-04-29 10:24:47.921362+00:00,-4.614542,104.16768,4.1088307,"Southern Sumatra, Indonesia"
2009-04-29 11:51:15.426500+00:00,0.58341163,99.284309,3.4360547,"Northern Sumatra, Indonesia"
2009-05-07 20:29:28.156818+00:00,-1.6703494,100.26148,4.3016459,"Southern Sumatra, Indonesia"
2009-05-08 13:19:04.515550+00:00,3.1254981,97.464149,5.0626862,"Northern Sumatra, Indonesia"
2009-05-10 08:58:25.593880+00:00,-5.4870563,101.14211,5.0828668,"Southwest of Sumatra, Indonesia"
2009-05-13 13:29:08.613036+00:00,4.6498332,95.381531,4.1464551,"Northern Sumatra, Indonesia"
2009-05-14 09:31:04.621015+00:00,4.2364492,97.529297,4.3315535,"Northern Sumatra, Indonesia"
2009-05-18 10:09:44.062687+00:00,-4.4244013,101.03156,5.0250317,"Southern Sumatra, Indonesia"
2009-05-18 11:50:09.980046+00:00,2.4934881,95.509476,4.4873298,Off West Coast of Northern Sumatra
2009-05-19 15:34:12.046676+00:00,-1.5474277,99.470284,4.5722296,"Southern Sumatra, Indonesia"
2009-05-21 06:14:02.645865+00:00,0.86419368,96.898781,4.7388753,Off West Coast of Northern Sumatra
2009-05-21 18:50:27.330463+00:00,-3.8340824,102.55431,4.3808205,"Southern Sumatra, Indonesia"
2009-05-23 10:54:20.557366+00:00,-0.0051627448,100.16939,5.0305151,"Southern Sumatra, Indonesia"
2009-05-24 02:15:32.463459+00:00,0.45391956,100.56683,4.3105562,"Northern Sumatra, Indonesia"
2009-05-25 01:57:36.177077+00:00,-1.2972108,100.09779,4.604108,"Southern Sumatra, Indonesia"
2009-05-27 06:56:30.930440+00:00,-0.85723472,100.6262,3.2953855,"Southern Sumatra, Indonesia"
2009-05-27 16:55:24.566383+00:00,-5.2280579,103.44873,3.233839,"Southern Sumatra, Indonesia"
2009-05-28 15:05:27.619573+00:00,-1.1674303,101.42786,3.9186349,"Southern Sumatra, Indonesia"
2009-06-02 01:32:32.794231+00:00,-3.2184012,100.06157,5.1482027,"Southern Sumatra, Indonesia"
2009-06-02 10:32:45.869763+00:00,-2.3504183,100.85426,4.2511256,"Southern Sumatra, Indonesia"
2009-06-04 01:42:49.451552+00:00,-3.1812451,100.4053,4.8755992,"Southern Sumatra, Indonesia"
2009-06-11 00:16:01.181206+00:00,-4.9927883,102.78058,5.1080881,"Southern Sumatra, Indonesia"
2009-06-11 05:23:59.826169+00:00,-6.2237372,103.76301,3.9452823,"Southwest of Sumatra, Indonesia"
2009-06-11 14:49:03.844495+00:00,1.7810479,96.910988,4.8562183,Off West Coast of Northern Sumatra
2009-06-12 00:48:55.871365+00:00,1.9922217,99.241791,4.2285317,"Northern Sumatra, Indonesia"
2009-06-12 21:19:36.456537+00:00,1.9029659,96.861954,3.4106528,Off West Coast of Northern Sumatra
2009-06-16 06:54:07.882816+00:00,-4.9656529,102.93906,4.261279,"Southern Sumatra, Indonesia"
2009-06-17 23:16:18.004786+00:00,3.8084447,96.457535,4.5131517,"Northern Sumatra, Indonesia"
2009-06-20 09:21:25.280738+00:00,-5.1148415,102.95134,5.7032698,"Southern Sumatra, Indonesia"
2009-06-22 06:15:33.851180+00:00,-6.8863826,103.84779,4.6540897,"Southwest of Sumatra, Indonesia"
2009-06-22 21:25:35.021419+00:00,-4.0697093,102.54442,4.7261411,"Southern Sumatra, Indonesia"
